id,dep_delayed_15min
0,0.028599856
1,0.03689206
2,0.03369355
3,0.22162914
4,0.16902086
5,0.09950364
6,0.03416585
7,0.16247772
8,0.17354894
9,0.30805406
10,0.3144207
11,0.1776818
12,0.08697303
13,0.34098813
14,0.058250476
15,0.2690116
16,0.060438644
17,0.33000407
18,0.2554852
19,0.026269829
20,0.1980699
21,0.033513695
22,0.12383563
23,0.15253669
24,0.31063974
25,0.28919634
26,0.0059456723
27,0.014359858
28,0.13285606
29,0.17151546
30,0.15811802
31,0.35824367
32,0.065570496
33,0.323086
34,0.5321958
35,0.20580466
36,0.18079421
37,0.18092084
38,0.08828196
39,0.18272533
40,0.15342306
41,0.18177775
42,0.12935492
43,0.2254751
44,0.1344162
45,0.42796203
46,0.0019367776
47,0.17784329
48,0.4176858
49,0.07763219
50,0.34585837
51,0.05560519
52,0.119780585
53,0.42732507
54,0.29152235
55,0.06532576
56,0.20146915
57,0.23726219
58,0.07564027
59,0.23773457
60,0.17878015
61,0.12081359
62,0.20490187
63,0.31300533
64,0.20970438
65,0.15383202
66,0.012948258
67,0.11118258
68,0.1429483
69,0.13808447
70,0.023681995
71,0.1911028
72,0.29279518
73,0.22272623
74,0.5570288
75,0.21276803
76,0.10452844
77,0.1694739
78,0.061022237
79,0.13106287
80,0.18707617
81,0.15278542
82,0.0716873
83,0.16937573
84,0.13708852
85,0.00136802
86,0.051229406
87,0.25910535
88,0.23329638
89,0.1984059
90,0.17511846
91,0.2228894
92,0.10454788
93,0.08426645
94,0.23334134
95,0.21429726
96,0.4237937
97,0.11589123
98,0.19321449
99,0.2756754
100,0.1184833
101,0.23161352
102,0.054566264
103,0.2442277
104,0.007774461
105,0.083169855
106,0.36619148
107,0.053297643
108,0.12620991
109,0.20318137
110,0.23728138
111,0.27797878
112,0.30044484
113,0.018990332
114,0.07656717
115,0.13804755
116,0.10752956
117,0.49188414
118,0.07524805
119,0.13702308
120,0.455926
121,0.2685686
122,0.20437114
123,0.31471524
124,0.15758747
125,0.054927897
126,0.07786669
127,0.039496154
128,0.09220953
129,0.46579
130,0.4649527
131,0.1298411
132,0.02716893
133,0.16923253
134,0.0530718
135,0.24692735
136,0.3374626
137,0.16298212
138,0.014378389
139,0.07833047
140,0.39712444
141,0.20596479
142,0.28968132
143,0.33848673
144,0.15931372
145,0.23485617
146,0.12047765
147,0.21973366
148,0.10832366
149,0.42555612
150,0.50981116
151,0.2160473
152,0.15290347
153,0.21742135
154,0.12617382
155,0.15212236
156,0.36877662
157,0.19987188
158,0.20574543
159,0.022517417
160,0.06483022
161,0.40949634
162,0.7206013
163,0.13034445
164,0.11119266
165,0.13377722
166,0.09753469
167,0.01917987
168,0.17998955
169,0.3217847
170,0.20393424
171,0.22451171
172,0.14256012
173,0.14983201
174,0.27530596
175,0.25124025
176,0.1964056
177,0.01867536
178,0.21368064
179,0.20089121
180,0.03485944
181,0.11906577
182,0.16717725
183,0.42098004
184,0.16021664
185,0.33434233
186,0.27196524
187,0.40058833
188,0.2535084
189,0.33212435
190,0.32915992
191,0.29230905
192,0.19631036
193,0.14670879
194,0.15371676
195,0.1338321
196,0.12895282
197,0.12577848
198,0.20383628
199,0.29969805
200,0.18154371
201,0.23985541
202,0.33363762
203,0.013443803
204,0.004274503
205,0.2475634
206,0.5286633
207,0.017702006
208,0.18972202
209,0.2122389
210,0.030225165
211,0.07864677
212,0.20687506
213,0.19368418
214,0.11022846
215,0.12533344
216,0.08025031
217,0.0794527
218,0.41224152
219,0.15508772
220,0.14554624
221,0.2936674
222,0.22936825
223,0.13182014
